1668657526,Tiger,19000.0,1000,Say
1668659417,Pepsi,20000.0,1000,hai
1668668034,Bia,23000.0,12000,Ba
1668668053,Quang 123,23000.0,12000,Ok
1668668062,Lap,23000.0,1000,Va
1668657515,Bo Huc 1,20000.0,500,Ngot
1668657526,Tiger,19000.0,1000,Say
1668659417,Pepsi,20000.0,1000,hai
1668668034,Bia,19000.0,12000,Ba
1668668053,Quang,10000.0,12000,Ok
1668668062,Coa,20000.0,1000,Va
1668657515,Bo Huc 2,20000.0,500,Ngot
1668657526,Tiger,19000.0,1000,Say
1668659417,Pepsi,20000.0,1000,hai
1668668034,Bia,19000.0,12000,Ba
1668668053,Quang,20000.0,12000,Ok
1668668062,Lap 3,12000.0,1000,Va
1668669041,Quang,12000.0,12000,vaoi
